,set,caloNum,energyLim,fitLim,c,m,c_err,m_err,redchi
30,1A,7,1300-1500,30-200,1.5136557355601543,-0.0009031073248347767,0.034056835480024514,0.0003727799514577336,1.0344534565285854
31,1A,8,1300-1500,30-200,0.1945207652912208,-0.0003152373392687666,0.03046862010840538,0.00033369797169126113,0.870777167391834
32,1A,9,1300-1500,30-200,-0.04960279488152175,-1.180279204149098e-07,0.033122138685178805,0.0003626204564158718,0.9094062651182533
33,1A,10,1300-1500,30-200,0.19348043601805137,-0.0007754861354374217,0.03383595452771554,0.0003702202192894078,1.0864513557607225
34,1A,11,1300-1500,30-200,-0.0320488287245253,-0.000894188425029723,0.03315824842469832,0.0003629141894317661,1.0133094043071236
35,1A,12,1300-1500,30-200,0.4620721377859458,-0.0007594510560128808,0.03244667490023869,0.000355147363952446,0.9859566451772253
36,1A,13,1300-1500,30-200,0.3265426760143427,-0.00046578137219910565,0.028682851287824676,0.0003136920374721996,0.8949307871723686
37,1A,14,1300-1500,30-200,0.26549086795812893,-0.0009497172209548272,0.03278110288176059,0.00035870712783279095,1.0124429517625468
38,1A,15,1300-1500,30-200,0.28345412003103543,-0.0005304502426472116,0.03237735730265635,0.0003545108964626777,0.9832421606916483
39,1A,16,1300-1500,30-200,0.5025178458237454,-0.0009236439346635085,0.03193048747371052,0.0003496528527692288,0.9583165249010391
40,1A,17,1300-1500,30-200,1.2688796414658001,-0.0007905518084484229,0.03135788902943135,0.00034330221042275276,0.9241999795446839
41,1A,18,1300-1500,30-200,1.385658432344744,-0.0006596497837458181,0.03448262474280399,0.00037750348202592645,1.0955195115961285
42,1A,19,1300-1500,30-200,0.27845143336961276,-0.0005554492284004278,0.030167023310872027,0.0003301117510069635,0.9700531934629902
43,1A,20,1300-1500,30-200,0.4185142306912057,0.00011778187080161533,0.03231722104692037,0.0003536634205590899,0.9674644848414936
44,1A,21,1300-1500,30-200,0.34784923421445757,-0.0007660299182806245,0.031296526881821635,0.0003424059502233877,0.9310073378686862
45,1A,22,1300-1500,30-200,0.9549215634478336,-0.0008415499241639698,0.031199860925811097,0.0003416278099502159,0.9171558833478158
46,1A,23,1300-1500,30-200,0.5355615711706079,-0.0004972998902894336,0.03106584301204509,0.0003400687611750427,0.9006267699017169
47,1A,24,1300-1500,30-200,0.6636657065057012,-0.0013311884317013698,0.033849218873873314,0.00037050110363289146,1.0209670900377918
48,1A,1,1500-1700,30-200,0.1343351096344314,-0.0003649344425707475,0.0333255281962093,0.0003649313696260616,1.0242349258564103
49,1A,2,1500-1700,30-200,-0.020539993709792648,-0.0005651701363145166,0.03620447586138529,0.00039637145953838333,0.9011650259738072
50,1A,3,1500-1700,30-200,1.0023315448092056,-0.0001607596272314056,0.03446954436423362,0.00037712687885966634,1.0843787994630558
51,1A,4,1500-1700,30-200,0.43229769528821127,-0.00047299287231586856,0.03319346511514649,0.00036328857117459045,0.9843173126174638
52,1A,5,1500-1700,30-200,1.7729590352398268,-0.0005654697391256374,0.03504518756606985,0.00038345499678028226,1.0509349083092203
53,1A,6,1500-1700,30-200,1.0705944473264979,-0.0007420109198552105,0.03387773248725985,0.0003703471599540777,0.9812316329515466
54,1A,7,1500-1700,30-200,1.7834668676993153,-0.0008322958105579459,0.03492050348846523,0.0003822008242212924,1.0541335947201387
55,1A,8,1500-1700,30-200,0.28650742214605074,-0.00024738076493799164,0.031901051222836006,0.0003490955608077122,0.9094654292558229
56,1A,9,1500-1700,30-200,-0.018609515124362486,-0.0006919017242733815,0.036051328085136614,0.00039433459275356274,1.031660024368635
57,1A,10,1500-1700,30-200,0.10978118623623034,-0.0007289670379145431,0.03381436886686931,0.0003700369879045405,1.0425402847703333
58,1A,11,1500-1700,30-200,0.19666542524309572,-0.0009492267068987792,0.03385787906095352,0.00037059327708106405,1.053590052018876
59,1A,12,1500-1700,30-200,0.041061695534376164,-0.0009301770787704981,0.03210184936239282,0.0003514086228611325,0.9513656466670737
60,1A,13,1500-1700,30-200,0.37283274037675473,-0.0007115480774841633,0.030135518981313444,0.0003296192941334945,1.0130510918765478
61,1A,14,1500-1700,30-200,0.35381342143699734,-0.0011208454197388581,0.036130646199754805,0.00039562942137482245,1.1844165230249715
62,1A,15,1500-1700,30-200,0.3822061974781662,-0.0005201364968299004,0.031330978192350624,0.00034295293831389457,0.894234396922137
63,1A,16,1500-1700,30-200,0.4336645928860301,-0.000538784928876843,0.03568559093815757,0.00039068377296425116,1.1471270613190612
64,1A,17,1500-1700,30-200,1.1876920818469634,-0.0007156090265412437,0.031448105114210076,0.000344333284741869,0.9259134197916574
65,1A,18,1500-1700,30-200,1.366497782377695,-0.001572683550433041,0.0337540037266367,0.00036951574954116346,1.0437398605982404
66,1A,19,1500-1700,30-200,0.16206730090072735,-0.0007927416359852737,0.029180670904101973,0.00031929037911320265,0.9308412174193882
67,1A,20,1500-1700,30-200,0.5202643406023421,-0.00038920679661946534,0.03638515729549054,0.00039828704189753356,1.177827394904689
68,1A,21,1500-1700,30-200,0.36640511906950696,-0.0004068721155748118,0.03348701215968192,0.00036661457207646153,1.0237209147188113
69,1A,22,1500-1700,30-200,0.9429308482974302,-0.0003438849957379022,0.03386547439448645,0.0003705832396590937,1.0233697090423943
70,1A,23,1500-1700,30-200,0.434374324261323,-0.0002577639492368622,0.03210888765521686,0.0003515507118987216,0.9576885714893799
71,1A,24,1500-1700,30-200,0.551398750210528,-0.00019421767235949057,0.03476487716157561,0.00038059413549979736,1.059733390346406
72,1A,1,1700-1900,30-200,0.3627133994396647,-0.0009364980442679652,0.03451308897291084,0.000377935205996487,1.0735180953825556
73,1A,2,1700-1900,30-200,-0.23863576177148393,-0.0006473146162776721,0.03984169898082758,0.00043607631691997955,0.99427016809374
74,1A,3,1700-1900,30-200,1.0399062485299417,0.00038174217683729873,0.033704213386780334,0.00036920052608513376,0.9608745519653882
75,1A,4,1700-1900,30-200,0.5347684172057845,-2.64269733486007e-05,0.03456704266860796,0.00037815923352478657,0.9854324717646064
76,1A,5,1700-1900,30-200,2.088947197976255,-0.00025784251344663253,0.0332742124376389,0.0003642313128917899,0.8400463435660709
77,1A,6,1700-1900,30-200,1.3352832673405028,-0.00044439574420836934,0.0362434078036469,0.0003964709026221872,1.050803279437828
78,1A,7,1700-1900,30-200,2.1948953561657554,-0.0005518482718445806,0.038066841167382084,0.00041671139173598924,1.183448796054082
79,1A,8,1700-1900,30-200,0.49588404673857295,-0.0007247124702500317,0.03334671163890688,0.0003648025046025311,0.921750698644039
80,1A,9,1700-1900,30-200,0.08080912303413368,-0.0009394745295600677,0.03518597987511247,0.000384941606114756,0.9117161739684351
81,1A,10,1700-1900,30-200,0.07869004544468233,-6.522686812394331e-05,0.036333508672695754,0.0003980645140262124,1.1185491481315037
82,1A,11,1700-1900,30-200,0.34844110887946755,-0.00014751165453793873,0.03511023017898507,0.0003844098007384076,1.0874666114759572
83,1A,12,1700-1900,30-200,-0.4170066360702289,-0.0004612028467246787,0.03290250275441081,0.0003600822345821498,0.9647116913903041
84,1A,13,1700-1900,30-200,0.424200116746144,-0.0006192352811443897,0.03084001638298661,0.0003373965500577304,1.0400124219863993
85,1A,14,1700-1900,30-200,0.5142275421094363,-0.0009309701755031822,0.03514361459390658,0.00038477806371570384,1.0516740459248621
86,1A,15,1700-1900,30-200,0.6045551416345175,-0.0006086107978190734,0.03336110384351197,0.00036536797674977016,0.965662993022363
87,1A,16,1700-1900,30-200,0.3465524263159784,-0.0008181431386703791,0.038620553213450204,0.0004225466035818637,1.235712686785891
88,1A,17,1700-1900,30-200,1.1231679065249205,-0.0009330173431314518,0.033253384980201924,0.00036400647571739776,0.9815038453614179
89,1A,18,1700-1900,30-200,1.2465383118239974,-0.0019954218334354893,0.035139334226031604,0.00038466032454185015,1.099745639960054
90,1A,19,1700-1900,30-200,-0.0038433758952413077,-0.0006183025417132917,0.0298006357826881,0.0003259313766503168,0.9619305832470577
91,1A,20,1700-1900,30-200,0.6558445736299345,-0.00011833730646713016,0.03378398932202877,0.0003697603415884163,0.9504642691258793
92,1A,21,1700-1900,30-200,0.5113215111135152,-0.0008048162596487201,0.03231025577721746,0.0003536776510169321,0.8746476156485838
93,1A,22,1700-1900,30-200,1.0036624870875581,1.577822391048668e-06,0.03453397211995031,0.0003779802694727814,0.9708179444568295
94,1A,23,1700-1900,30-200,0.2724044347483346,-0.00047292470751757876,0.03265876224166307,0.00035733986633146287,0.9604234860195492
95,1A,24,1700-1900,30-200,0.6695326255636345,-0.0008449680035299552,0.03477568158979555,0.0003805932614270794,1.014316778503117
96,1A,1,1900-2100,30-200,0.6889278154376026,-9.995721500816788e-05,0.034926707308157744,0.00038221358197794366,1.0437561079258104
97,1A,2,1900-2100,30-200,-0.45498296752589684,-0.0011106687832363926,0.04392001404013863,0.0004803989852439924,1.0065027135845335
98,1A,3,1900-2100,30-200,1.183307180803757,9.581392988230858e-05,0.036722715730787336,0.00040188300779120715,0.9924086167864397
99,1A,4,1900-2100,30-200,0.619253649157728,-0.00026246434328063435,0.03672379634591507,0.0004017705206343312,0.9725799744188719
100,1A,5,1900-2100,30-200,2.7159510417881556,-2.8684516392428464e-05,0.03661678472409431,0.00040042936803007126,0.8670262827264663
101,1A,6,1900-2100,30-200,1.8788171577392176,-0.0006161595961813645,0.03701159612441605,0.0004050645646791733,0.9989380868374914
102,1A,7,1900-2100,30-200,2.502079313412366,-0.0007311971999459172,0.03951132927353018,0.0004322527474780696,1.1510265512199873
103,1A,8,1900-2100,30-200,0.9722096464741978,-0.001330298639137704,0.03677627615838686,0.0004025025725759993,0.987037704110607
104,1A,9,1900-2100,30-200,0.17072368120497433,-0.0011697496535805533,0.03793618674111281,0.0004147887996749796,0.9443348115797202
105,1A,10,1900-2100,30-200,0.32212635593800015,0.00023281245553775492,0.03893016111289446,0.0004266868627905941,1.1397483926974685
106,1A,11,1900-2100,30-200,0.28186455667348403,-0.0009520728212606677,0.035330213752382565,0.00038636367549174335,1.0195324730604711
107,1A,12,1900-2100,30-200,-0.8256982827463704,-0.0007632906549136622,0.033340774277254216,0.000364959512858865,0.9254145512715125
108,1A,13,1900-2100,30-200,0.5976743733027449,-0.0008069274758027103,0.031837245632888776,0.00034833565104885796,1.0340907872575802
109,1A,14,1900-2100,30-200,0.7119556178523936,-0.0006788502137981261,0.03743172944797997,0.0004099686936748098,1.0851686135226184
110,1A,15,1900-2100,30-200,0.9426854746283821,-0.0010828006046962263,0.03659034267525374,0.0004004173942864776,1.0530367511549352
111,1A,16,1900-2100,30-200,0.07091417271341105,-0.0004023844099202147,0.03873814307193318,0.00042391066619111367,1.081279861673339
112,1A,17,1900-2100,30-200,0.9197526372798099,-0.00042960087097123077,0.03396542336318888,0.0003716659378985662,0.9118245843798626
113,1A,18,1900-2100,30-200,0.8232230538696432,-0.0010044972540295802,0.03315888923173682,0.00036327769683884044,0.9213022757015741
114,1A,19,1900-2100,30-200,-0.26196377829016515,-0.0004618164149363555,0.029655408622197375,0.00032470519460446677,0.8975892653797058
115,1A,20,1900-2100,30-200,0.609246786949641,0.00020395338004722965,0.036268018631279035,0.00039706663691161563,0.9879634023420139
116,1A,21,1900-2100,30-200,1.1769154820551022,-0.0014445987134960926,0.03614900601650064,0.0003955595277087758,0.9456714457531897
117,1A,22,1900-2100,30-200,1.245017990589977,-0.001004909066440494,0.03868739855564859,0.0004232816066216117,1.0398738694131262
118,1A,23,1900-2100,30-200,-0.010720276216690139,-0.0004223076546918569,0.036687392824460936,0.0004010439077873172,1.1059440116994723
119,1A,24,1900-2100,30-200,1.0710143897503988,-0.00048449620197851486,0.03669433051046204,0.0004016126534778301,1.030369402610031
120,1A,1,2100-2300,30-200,0.8955851272007072,-5.2763751554586424e-05,0.03697750186903902,0.0004047228263579912,1.0403029650812974
121,1A,2,2100-2300,30-200,-0.7468047446687962,-0.00011169793717589345,0.04796157677633918,0.0005251362853906911,0.9142075786436921
122,1A,3,2100-2300,30-200,1.6630758426709065,-0.0010190418800097283,0.04006197964420336,0.0004384669904269667,0.9482217979270603
123,1A,4,2100-2300,30-200,0.8837286623023866,-0.0009071329587446593,0.0415053096972779,0.0004540419203659272,1.0001430932120745
124,1A,5,2100-2300,30-200,3.4741128824463527,-0.0005480627912678934,0.044124648016387845,0.0004824256680006855,0.9839272962618344
125,1A,6,2100-2300,30-200,2.4908013440435997,-0.00011467997625860525,0.038598400545432614,0.00042234189694678124,0.9252629874567736
126,1A,7,2100-2300,30-200,2.605041858932869,-0.0008671616586456043,0.03912836740668331,0.0004281824201424682,0.9392230516072803
127,1A,8,2100-2300,30-200,1.6928369607961147,-0.0012553719339279004,0.03900005325368568,0.00042710679568535556,0.8870459027999553
128,1A,9,2100-2300,30-200,-0.0630733870865362,-0.001025372581903025,0.04214454938814906,0.0004606111216414841,0.936770464276369
129,1A,10,2100-2300,30-200,0.7160752812293241,-0.0006392639525891217,0.04112459341173935,0.0004503959449829381,1.0389409477095262
130,1A,11,2100-2300,30-200,-0.02389322068223232,-0.0013995045653476328,0.03649589806559773,0.0003993108205180572,0.9629300137779176
131,1A,12,2100-2300,30-200,-1.0268404482525537,-0.0016616215765207372,0.037400413038942565,0.00040971281217132505,1.0271722055001473
132,1A,13,2100-2300,30-200,0.8322584282123622,-0.0011503024981040378,0.034068050238332176,0.00037266727780339306,1.0320293950351787
133,1A,14,2100-2300,30-200,0.5626277595243612,-0.0007059887540459965,0.03985488715162329,0.0004362997544899055,1.0422459861263818
134,1A,15,2100-2300,30-200,1.0400709816931981,-0.001100953859383941,0.04214137146878038,0.00046099090456774963,1.1515181786784385
135,1A,16,2100-2300,30-200,-0.5687128187427264,-0.0008841581007206552,0.038069583515589984,0.00041649215435406585,0.8350130629175037
136,1A,17,2100-2300,30-200,0.5065363184277913,-0.00019439564394145548,0.038615428933257125,0.00042234330443865863,0.9515339610108559
137,1A,18,2100-2300,30-200,0.5199752488104669,-0.0009634780273462152,0.036637356222357226,0.00040089412839775765,1.0099937261252245
138,1A,19,2100-2300,30-200,-0.5890029965271224,-0.0009893319378428184,0.03388962782932234,0.0003708434307714455,1.0181862787629485
139,1A,20,2100-2300,30-200,0.2579912908989388,-0.0004783645322250294,0.040154059377203274,0.0004397260067658314,1.0263823019735663
140,1A,21,2100-2300,30-200,1.5872146358092059,-0.0013108430139373143,0.04220632068661531,0.0004617196030400384,0.9975190270483592
141,1A,22,2100-2300,30-200,1.6651266072215272,-0.0010041379086381046,0.04359308982566559,0.00047698062649698456,0.9942475527969781
142,1A,23,2100-2300,30-200,-0.4696181241528622,-0.0005543049555332156,0.03817296700544697,0.0004174666640957057,0.9712845867674847
143,1A,24,2100-2300,30-200,1.6446769367053709,0.00016138613692429982,0.03848501681851458,0.0004211172779629832,0.9452259199540547
144,1A,1,2300-2500,30-200,0.8105099976078605,-0.0002848557767137612,0.040823999457258626,0.00044644108791454295,0.9862641244722048
145,1A,2,2300-2500,30-200,-0.8200302268614796,-0.0007707125917566389,0.0618939721952604,0.0006776373762569065,1.0274643435310316
146,1A,3,2300-2500,30-200,2.381837237343455,-0.0010057350061593233,0.04962634091646485,0.0005429141986139117,1.0016385850622738
147,1A,4,2300-2500,30-200,1.169724252777506,-0.0014496424047039924,0.05112269693444116,0.0005598374701874084,1.0388425806485602
148,1A,5,2300-2500,30-200,4.2580957447637005,-0.00033966135170536833,0.05609568001992857,0.0006138871884168692,0.9954228797634113
149,1A,6,2300-2500,30-200,2.8304491473235744,-9.955327181727237e-05,0.046770513391861945,0.0005116801563769988,0.9654647586796075
150,1A,7,2300-2500,30-200,2.788929175804766,-0.000389911880141953,0.04400567709393396,0.0004817482961473372,0.882161981865491
151,1A,8,2300-2500,30-200,2.6073171751774997,-0.0008889411274871161,0.04704559094762569,0.0005148518088708762,0.8739814241098989
152,1A,9,2300-2500,30-200,-0.579938184714649,-0.0006670586850675488,0.051473636850968126,0.0005638769485117047,0.9636707304502584
153,1A,10,2300-2500,30-200,1.271586431761725,-0.0004796306418573633,0.05049480008996354,0.0005526721526361729,1.0927435049722602
154,1A,11,2300-2500,30-200,-0.3560017541261795,-0.000628877969987029,0.04000466505547895,0.00043797633475179364,0.9070369549107385
155,1A,12,2300-2500,30-200,-1.1949765347283952,-0.00015187798557367229,0.04067417515453359,0.0004455437315987126,0.9675032806177232
156,1A,13,2300-2500,30-200,1.1675178495249456,-0.00012674355599461267,0.03926510641035725,0.00042894502154753147,1.0586508512269994
157,1A,14,2300-2500,30-200,0.09670505520467843,-0.0006241189850174562,0.04382550310596523,0.000479620754357806,0.9661049372809078
158,1A,15,2300-2500,30-200,0.8653429859875261,-0.0012937877591909259,0.04585792783196836,0.0005011393581076474,0.967377088127145
159,1A,16,2300-2500,30-200,-1.0114246906332451,-0.0013665275139145977,0.049241573992922054,0.0005387009841466786,0.9580170938842675
160,1A,17,2300-2500,30-200,-0.048833148450113883,-0.0007452180258124773,0.048922104951007794,0.0005351778999230792,1.0944128407203952
161,1A,18,2300-2500,30-200,1.1076016659074697,-4.6735375957917e-05,0.044183938814876804,0.00048332713071794816,1.1684207503671833
162,1A,19,2300-2500,30-200,-0.929388929395313,-4.08607795933594e-05,0.04000316647875336,0.0004373497730092911,1.064194699688632
163,1A,20,2300-2500,30-200,0.8464666694515675,-0.0012726144208812093,0.045934075786361224,0.0005026112880399043,1.0142155317781485
164,1A,21,2300-2500,30-200,1.2855007870879982,-0.0009235615664336247,0.05222081563000154,0.0005716921541205236,1.0096005234374843
165,1A,22,2300-2500,30-200,2.645709492976813,-0.0008761371335798597,0.05398265500004522,0.0005907995044416694,0.9302168877125306
166,1A,23,2300-2500,30-200,-0.8799273190272168,-0.0003984870107921501,0.04655425033699099,0.0005090607686951792,0.9894809456641244
167,1A,24,2300-2500,30-200,1.656050538963029,-0.0006246255592677012,0.045342762145344544,0.0004957937904402554,0.9462535882973696
168,1A,1,2500-2700,30-200,0.5615826560504598,-0.00029110681757862775,0.05136078962384189,0.0005616708458253194,1.0111855270767005
169,1A,2,2500-2700,30-200,-1.5513180087695004,0.0006002495521601597,0.08366499279379087,0.000914725930665205,0.9869623952694828
170,1A,3,2500-2700,30-200,4.237497858557878,-0.0007923624694514089,0.07690367088929533,0.0008406609275412471,1.1678371309287405
171,1A,4,2500-2700,30-200,1.2214031972179193,-0.0011911672600084544,0.07514035946689186,0.0008225323473590497,1.1620041043217875
172,1A,5,2500-2700,30-200,6.550686756669346,0.00013308088783134275,0.08562470988158716,0.0009358528834385392,0.9255391028510628
173,1A,6,2500-2700,30-200,2.219945755000984,0.0003037853439044913,0.06061672638893684,0.000662528190164092,0.7984458407706673
174,1A,7,2500-2700,30-200,3.0215087727487915,-0.0006368060655871629,0.062182610846823756,0.0006795026954333313,1.068208025240473
175,1A,8,2500-2700,30-200,4.244169030865061,-0.0009836443306816315,0.0753787005975512,0.000825647764598552,1.1199090770154545
176,1A,9,2500-2700,30-200,-2.289914841816905,-0.00026930603060802943,0.07609858671991702,0.0008324193721086726,1.076635628177726
177,1A,10,2500-2700,30-200,2.6992788847896896,-0.00042009623047163696,0.06763544403337897,0.0007396116750606861,1.0486135885921495
178,1A,11,2500-2700,30-200,-0.6420757604214804,-0.0011602245868862252,0.051654175567461165,0.000564624900001034,0.870462092085106
179,1A,12,2500-2700,30-200,-0.6199142682951746,6.717437017258883e-05,0.053794120744913014,0.0005881413384300888,1.1316217022952015
180,1A,13,2500-2700,30-200,1.3223184720809362,2.8681754135526845e-05,0.04831725447024915,0.0005271199640465852,1.0989760251358685
181,1A,14,2500-2700,30-200,-0.5806220893162148,-0.0003862874179496668,0.05113584648449353,0.0005597442518974792,0.9020781301557838
182,1A,15,2500-2700,30-200,0.8184878630189438,-0.0001513961701138098,0.06931523968200057,0.0007582237915590414,1.1137084135293884
183,1A,16,2500-2700,30-200,-1.2858005306693796,-0.0009483293245675535,0.0685048191606035,0.000748773067118843,0.9659701454313647
