,set,e,calo,diff,err
111,1A,1900-2100,16,0.020119220496010733,0.021195533309555682
112,1A,1900-2100,17,0.02148004354856159,0.018583296894928308
113,1A,1900-2100,18,0.05022486270147908,0.018163884841942025
114,1A,1900-2100,19,0.023090820746817786,0.016235259730223342
115,1A,1900-2100,20,-0.01019766900236141,0.019853331845580777
116,1A,1900-2100,21,0.07222993567480462,0.01977797638543879
117,1A,1900-2100,22,0.05024545332202468,0.021164080331080585
118,1A,1900-2100,23,0.021115382734592847,0.020052195389365857
119,1A,1900-2100,24,0.024224810098925742,0.020080632673891506
120,1A,2100-2300,1,0.0026381875777293784,0.02023614131789956
121,1A,2100-2300,2,0.005584896858794597,0.026256814269534558
122,1A,2100-2300,3,0.05095209400048639,0.021923349521348334
123,1A,2100-2300,4,0.04535664793723304,0.02270209601829636
124,1A,2100-2300,5,0.027403139563394685,0.024121283400034277
125,1A,2100-2300,6,0.005733998812930352,0.021117094847339063
126,1A,2100-2300,7,0.04335808293228016,0.02140912100712341
127,1A,2100-2300,8,0.0627685966963949,0.02135533978426778
128,1A,2100-2300,9,0.05126862909515123,0.023030556082074206
129,1A,2100-2300,10,0.0319631976294561,0.022519797249146902
130,1A,2100-2300,11,0.06997522826738165,0.01996554102590286
131,1A,2100-2300,12,0.08308107882603677,0.020485640608566252
132,1A,2100-2300,13,0.05751512490520183,0.01863336389016965
133,1A,2100-2300,14,0.03529943770229982,0.021814987724495277
134,1A,2100-2300,15,0.05504769296919709,0.02304954522838748
135,1A,2100-2300,16,0.04420790503603278,0.02082460771770329
136,1A,2100-2300,17,0.009719782197072757,0.021117165221932927
137,1A,2100-2300,18,0.048173901367310756,0.020044706419887884
138,1A,2100-2300,19,0.049466596892140835,0.018542171538572277
139,1A,2100-2300,20,0.02391822661125148,0.021986300338291572
140,1A,2100-2300,21,0.06554215069686586,0.02308598015200192
141,1A,2100-2300,22,0.05020689543190526,0.023849031324849227
142,1A,2100-2300,23,0.02771524777666079,0.020873333204785283
143,1A,2100-2300,24,-0.008069306846214985,0.02105586389814916
144,1A,2300-2500,1,0.01424278883568808,0.022322054395727146
145,1A,2300-2500,2,0.038535629587831965,0.03388186881284533
146,1A,2300-2500,3,0.050286750307966255,0.027145709930695584
147,1A,2300-2500,4,0.07248212023519951,0.02799187350937042
148,1A,2300-2500,5,0.016983067585267797,0.03069435942084346
149,1A,2300-2500,6,0.004977663590863379,0.02558400781884994
150,1A,2300-2500,7,0.019495594007097328,0.024087414807366862
151,1A,2300-2500,8,0.04444705637435575,0.02574259044354381
152,1A,2300-2500,9,0.033352934253377486,0.028193847425585238
153,1A,2300-2500,10,0.02398153209286802,0.02763360763180864
154,1A,2300-2500,11,0.03144389849935142,0.02189881673758968
155,1A,2300-2500,12,0.00759389927868348,0.02227718657993563
156,1A,2300-2500,13,0.006337177799730531,0.021447251077376574
157,1A,2300-2500,14,0.031205949250872812,0.0239810377178903
158,1A,2300-2500,15,0.06468938795954637,0.025056967905382366
159,1A,2300-2500,16,0.06832637569572997,0.026935049207333927
160,1A,2300-2500,17,0.03726090129062386,0.026758894996153956
161,1A,2300-2500,18,0.002336768797895905,0.02416635653589741
162,1A,2300-2500,19,0.002043038979667955,0.021867488650464555
163,1A,2300-2500,20,0.06363072104406042,0.025130564401995216
164,1A,2300-2500,21,0.046178078321681415,0.02858460770602618
165,1A,2300-2500,22,0.04380685667899309,0.029539975222083466
166,1A,2300-2500,23,0.019924350539607505,0.025453038434758962
167,1A,2300-2500,24,0.031231277963385207,0.02478968952201277
168,1A,2500-2700,1,0.014555340878931289,0.028083542291265966
169,1A,2500-2700,2,-0.03001247760800796,0.04573629653326025
170,1A,2500-2700,3,0.039618123472570765,0.04203304637706236
171,1A,2500-2700,4,0.05955836300042283,0.041126617367952485
172,1A,2500-2700,5,-0.006654044391567027,0.04679264417192696
173,1A,2500-2700,6,-0.01518926719522451,0.0331264095082046
174,1A,2500-2700,7,0.031840303279358384,0.03397513477166656
175,1A,2500-2700,8,0.04918221653408139,0.0412823882299276
176,1A,2500-2700,9,0.013465301530401597,0.041620968605433635
177,1A,2500-2700,10,0.021004811523582134,0.036980583753034306
178,1A,2500-2700,11,0.058011229344311244,0.0282312450000517
179,1A,2500-2700,12,-0.0033587185086293436,0.029407066921504438
180,1A,2500-2700,13,-0.0014340877067762214,0.026355998202329256
181,1A,2500-2700,14,0.019314370897483446,0.027987212594873957
182,1A,2500-2700,15,0.007569808505690445,0.03791118957795207
183,1A,2500-2700,16,0.047416466228377585,0.037438653355942146
184,1A,2500-2700,17,0.07893598758860687,0.033731969281374806
185,1A,2500-2700,18,-0.0010873851458006456,0.026657883139682922
186,1A,2500-2700,19,0.020521882292158455,0.02762045025964448
187,1A,2500-2700,20,0.004334085719834402,0.03127321574685158
188,1A,2500-2700,21,0.051121613295587426,0.040348608077371895
189,1A,2500-2700,22,0.13939215291483809,0.04721406305501892
190,1A,2500-2700,23,0.01451699029861886,0.03489450930351179
191,1A,2500-2700,24,0.025161789118836264,0.034793963840712906
192,1A,2700-2900,1,-0.006981258491688402,0.041694129834957044
193,1A,2700-2900,2,-0.07719707044155122,0.08298899003121818
194,1A,2700-2900,3,-0.021028405763592772,0.0719558783549522
195,1A,2700-2900,4,-0.038546581808074354,0.07040696674441366
196,1A,2700-2900,5,-0.06109799637068036,0.11689918388386994
197,1A,2700-2900,6,-0.07585472269064264,0.06787066995748611
198,1A,2700-2900,7,0.05658562518652088,0.05688563724777397
199,1A,2700-2900,8,-0.05151428883382181,0.07638383656289387
