,set,caloNum,energyLim,fitLim,c,m,c_err,m_err,redchi
48,1C,1,1500-1700,30-200,0.4116823185159439,-0.0004655071219222152,0.013289479066955915,0.00014546840633102096,0.9784105517177915
49,1C,2,1500-1700,30-200,0.18081174208720996,-0.00024215568445289212,0.014691057597333383,0.0001607541285838219,0.8939336901917416
50,1C,3,1500-1700,30-200,1.2421682690301674,1.7877273654324643e-05,0.014305810101950506,0.0001565160577703552,1.1226035049703076
51,1C,4,1500-1700,30-200,0.6994037151204893,-0.0004917630751131352,0.013717895542438872,0.00015008163254387014,1.0107766556296622
52,1C,5,1500-1700,30-200,2.074288933301357,-0.00016205850530737044,0.01440569658584489,0.0001576381485951892,1.063845564987416
53,1C,6,1500-1700,30-200,1.30790704795835,-0.0006478082582402528,0.014643739643385256,0.00016018901803711453,1.102391842316276
54,1C,7,1500-1700,30-200,2.0854064427546226,-0.0006599244626679402,0.014183042856379606,0.00015518261769635226,1.044826422975102
55,1C,8,1500-1700,30-200,0.5913000459207665,-0.00031081858428655255,0.01390860191801913,0.00015221001941369798,1.0398600926545105
56,1C,9,1500-1700,30-200,0.21801170264191788,-0.00034166782029316855,0.01438567346383542,0.00015740765918268075,0.9839485650202479
57,1C,10,1500-1700,30-200,0.4181381978740817,-0.0005633581291034852,0.013979752101272542,0.00015291062646733037,1.069534203742939
58,1C,11,1500-1700,30-200,0.5649195069531292,-0.0007578278365434198,0.014096887983513124,0.00015430269924593016,1.0961197147474402
59,1C,12,1500-1700,30-200,0.38129441647040196,-0.0005419120948475531,0.01254152222189062,0.00013719782699347103,0.8710672131370625
60,1C,13,1500-1700,30-200,0.6177868395055848,-0.0005847038667615217,0.012605186482968423,0.00013790939935018424,1.0607082857199828
61,1C,14,1500-1700,30-200,0.7206723867609999,-0.0007025909223334552,0.013224114116647178,0.00014470262011309276,0.9511384365546364
62,1C,15,1500-1700,30-200,0.833240393114109,-0.0009475352556776488,0.013354877496647027,0.00014612969148183996,0.9761951928693092
63,1C,16,1500-1700,30-200,0.843822626626028,-0.000813940940471265,0.014231084688558987,0.00015569064665964442,1.0937469671824265
64,1C,17,1500-1700,30-200,1.574021748909391,-0.0006632829494938004,0.01333502054551606,0.00014592219663514853,0.9951633338589557
65,1C,18,1500-1700,30-200,1.677618554678957,-0.0007416052540984484,0.013346753599420013,0.00014602078296747792,0.981326411074333
66,1C,19,1500-1700,30-200,0.3810064702131541,-0.00029204298896950986,0.012440744932856724,0.00013614676771124388,1.0128429753895043
67,1C,20,1500-1700,30-200,0.9522006954955025,-0.000746644027306093,0.013236336405181163,0.00014482362944658538,0.9319678566223455
68,1C,21,1500-1700,30-200,0.7260597279107065,-0.0005991336193418038,0.013862702842277889,0.00015166644579864145,1.0526323352644973
69,1C,22,1500-1700,30-200,1.2694004331595816,-0.0005831665308163678,0.01411502229212127,0.00015443547999404564,1.067348199048597
70,1C,23,1500-1700,30-200,0.7531757329873621,-0.0006396127557149944,0.014140860744222501,0.00015474664278447312,1.1138081170118501
71,1C,24,1500-1700,30-200,0.8331631530294894,-0.00029995025200716844,0.0134999384857462,0.00014770455659433688,0.9597118212322496
72,1C,1,1700-1900,30-200,0.5965061322892553,-0.0003628351232817226,0.0141676332361817,0.0001550227592909014,1.0874533250433476
73,1C,2,1700-1900,30-200,-0.03405045201307222,-0.000386033464925251,0.01706431824770365,0.00018668243505453363,1.092815474920068
74,1C,3,1700-1900,30-200,1.3242940923774902,-0.00017662400815822665,0.013178339659592274,0.0001441918315923488,0.8800914124041354
75,1C,4,1700-1900,30-200,0.7875846469988153,-3.6525240979267296e-05,0.01454618881558953,0.0001591630175608612,1.0457581253301282
76,1C,5,1700-1900,30-200,2.4415361835074223,-0.0003322564234166047,0.015020823758969655,0.0001643565433950677,1.0286263389702726
77,1C,6,1700-1900,30-200,1.6177877745028557,-0.0007472090451756819,0.01499891897121439,0.0001641278968902213,1.0790903890974919
78,1C,7,1700-1900,30-200,2.4908783045517686,-0.000505049553544548,0.014625732580358703,0.00015998536744762297,1.0466727986407527
79,1C,8,1700-1900,30-200,0.7885439261919513,-0.0004848930450777898,0.015081967897850528,0.00016501972109037169,1.1302998347613895
80,1C,9,1700-1900,30-200,0.3269010700818279,-0.0005754036337138756,0.016397674819484433,0.0001793867883560241,1.1870399438313366
81,1C,10,1700-1900,30-200,0.47232665414843006,-0.0006922729601590956,0.014634257801628074,0.00016007914674365616,1.087772277535209
